CRIM,ZN,INDUS,CHAS,NOX,RM,DIS,TAX,PTRATIO,LSTAT,age_category,rad_category
0.00632,18.0,2.31,0.0,0.538,,4.09,296.0,,4.98,old,low
0.02731,0.0,7.07,0.0,0.469,6.421,4.9671,,17.8,9.14,old,low
0.02729,0.0,7.07,0.0,0.469,7.185,4.9671,,17.8,4.03,old,low
0.03237,0.0,2.18,0.0,0.458,6.998,6.0622,222.0,18.7,2.94,middle-aged,
0.06905,0.0,2.18,0.0,,7.147,6.0622,222.0,18.7,5.33,middle-aged,
0.02985,0.0,2.18,0.0,0.458,,6.0622,222.0,18.7,5.21,middle-aged,
,12.5,7.87,0.0,0.524,6.012,5.5605,311.0,15.2,12.43,old,medium
,12.5,7.87,0.0,0.524,6.172,5.9505,311.0,15.2,19.15,old,medium
0.21124,,7.87,0.0,0.524,5.631,6.0821,311.0,15.2,29.93,old,medium
0.17004,12.5,7.87,0.0,0.524,6.004,6.5921,,15.2,17.1,old,medium
0.22489,12.5,7.87,0.0,0.524,,,311.0,15.2,20.45,old,medium
0.11747,,7.87,,0.524,6.009,6.2267,311.0,15.2,13.27,old,medium
0.09378,12.5,7.87,,,5.889,5.4509,311.0,15.2,15.71,middle-aged,medium
0.62976,0.0,,,0.538,5.949,4.7075,,21.0,8.26,old,low
0.63796,0.0,8.14,0.0,0.538,6.096,4.4619,307.0,21.0,10.26,old,low
0.62739,0.0,8.14,,0.538,5.834,4.4986,307.0,21.0,8.47,,low
1.05393,0.0,,0.0,0.538,5.935,4.4986,307.0,21.0,6.58,young,
,0.0,,0.0,0.538,5.99,4.2579,307.0,,14.67,old,
0.80271,0.0,8.14,0.0,0.538,,3.7965,307.0,,11.69,middle-aged,
,0.0,8.14,0.0,0.538,5.727,3.7965,307.0,21.0,,old,low
1.25179,0.0,8.14,0.0,0.538,5.57,3.7979,307.0,21.0,21.02,,
0.85204,,8.14,0.0,,5.965,4.0123,307.0,21.0,13.83,old,low
1.23247,0.0,8.14,0.0,0.538,6.142,3.9769,307.0,21.0,18.72,old,low
0.98843,,8.14,0.0,0.538,,4.0952,307.0,21.0,19.88,old,low
0.75026,0.0,8.14,0.0,0.538,5.924,4.3996,307.0,21.0,16.3,old,low
0.84054,,8.14,0.0,0.538,5.599,4.4546,307.0,21.0,16.51,old,low
0.67191,0.0,8.14,0.0,0.538,5.813,4.682,,21.0,14.81,old,
0.95577,0.0,8.14,,,6.047,4.4534,307.0,21.0,17.28,old,low
0.77299,0.0,8.14,0.0,0.538,6.495,4.4547,307.0,21.0,12.8,old,low
1.00245,0.0,8.14,0.0,0.538,6.674,4.239,307.0,21.0,11.98,old,
,0.0,8.14,0.0,0.538,5.713,4.233,307.0,21.0,,old,low
1.35472,0.0,8.14,0.0,0.538,6.072,4.175,307.0,21.0,13.04,old,low
1.38799,0.0,8.14,0.0,0.538,5.95,3.99,307.0,21.0,27.71,old,low
1.15172,,8.14,0.0,0.538,5.701,3.7872,307.0,21.0,18.35,old,low
1.61282,0.0,8.14,0.0,0.538,6.096,3.7598,307.0,21.0,20.34,old,low
0.06417,0.0,5.96,0.0,0.499,5.933,,,19.2,9.68,,medium
0.09744,0.0,5.96,0.0,0.499,5.841,3.3779,279.0,19.2,11.41,old,medium
0.08014,0.0,5.96,0.0,0.499,,3.9342,279.0,19.2,,middle-aged,medium
0.17505,0.0,5.96,0.0,,5.966,3.8473,279.0,19.2,10.13,middle-aged,medium
0.02763,75.0,2.95,0.0,0.428,6.595,5.4011,252.0,18.3,4.32,young,low
0.03359,75.0,2.95,0.0,0.428,,5.4011,252.0,18.3,1.98,young,low
0.12744,0.0,6.91,0.0,0.448,6.77,,233.0,17.9,4.84,young,low
0.1415,0.0,6.91,0.0,0.448,6.169,5.7209,233.0,17.9,5.81,young,low
0.15936,0.0,6.91,0.0,0.448,6.211,5.7209,233.0,17.9,7.44,young,low
0.12269,0.0,6.91,0.0,0.448,6.069,5.7209,233.0,17.9,9.55,middle-aged,low
,0.0,6.91,0.0,,5.682,5.1004,233.0,17.9,10.21,middle-aged,low
0.18836,0.0,6.91,0.0,0.448,5.786,5.1004,233.0,17.9,14.15,middle-aged,low
0.22927,0.0,6.91,0.0,0.448,6.03,5.6894,233.0,17.9,18.8,old,low
0.25387,0.0,6.91,0.0,0.448,5.399,5.87,233.0,17.9,30.81,old,low
0.21977,0.0,,0.0,0.448,5.602,6.0877,233.0,17.9,16.2,old,low
0.08873,21.0,5.64,0.0,0.439,5.963,6.8147,243.0,16.8,13.45,middle-aged,low
0.04337,21.0,5.64,0.0,0.439,6.115,6.8147,243.0,16.8,9.43,,
0.0536,21.0,5.64,0.0,0.439,6.511,6.8147,243.0,16.8,5.28,young,low
0.04981,21.0,5.64,0.0,0.439,5.998,,243.0,16.8,,young,low
0.0136,75.0,4.0,0.0,0.41,5.888,7.3197,469.0,21.1,14.8,middle-aged,low
0.01311,90.0,1.22,0.0,0.403,,8.6966,226.0,17.9,4.81,young,medium
0.02055,85.0,0.74,0.0,0.41,6.383,9.1876,313.0,17.3,5.77,middle-aged,low
0.01432,100.0,1.32,0.0,0.411,6.816,,256.0,15.1,3.95,middle-aged,medium
0.15445,25.0,5.13,0.0,,6.145,7.8148,284.0,19.7,6.86,young,medium
0.10328,25.0,5.13,0.0,0.453,,6.932,284.0,19.7,9.22,,medium
0.14932,,5.13,0.0,0.453,5.741,7.2254,284.0,19.7,13.15,old,medium
0.17171,25.0,5.13,0.0,0.453,5.966,,284.0,19.7,14.44,old,medium
0.11027,25.0,5.13,0.0,,6.456,7.2255,284.0,19.7,6.73,old,medium
0.1265,25.0,5.13,0.0,0.453,6.762,7.9809,284.0,19.7,9.5,middle-aged,medium
0.01951,17.5,1.38,0.0,0.4161,7.104,9.2229,216.0,18.6,,middle-aged,low
0.03584,80.0,3.37,0.0,0.398,6.29,,337.0,16.1,4.67,,low
0.04379,80.0,3.37,0.0,,5.787,6.6115,337.0,,10.24,,low
0.05789,12.5,6.07,0.0,0.409,5.878,6.498,345.0,18.9,8.1,young,low
0.13554,12.5,6.07,0.0,0.409,5.594,6.498,345.0,18.9,13.09,,low
0.12816,12.5,6.07,0.0,0.409,5.885,6.498,345.0,,8.79,middle-aged,low
0.08826,0.0,10.81,0.0,0.413,6.417,5.2873,305.0,19.2,6.72,young,low
0.15876,0.0,10.81,0.0,0.413,5.961,5.2873,305.0,19.2,9.88,young,low
0.09164,0.0,10.81,0.0,0.413,6.065,5.2873,305.0,19.2,5.52,young,low
0.19539,0.0,,0.0,0.413,6.245,5.2873,305.0,19.2,7.54,young,low
0.07896,0.0,12.83,,0.437,6.273,4.2515,398.0,18.7,6.78,young,
0.09512,0.0,12.83,,0.437,6.286,4.5026,398.0,,8.94,middle-aged,medium
0.10153,0.0,12.83,0.0,0.437,6.279,4.0522,398.0,18.7,11.97,old,medium
0.08707,0.0,,0.0,0.437,6.14,4.0905,398.0,18.7,10.27,middle-aged,medium
0.05646,0.0,12.83,0.0,0.437,6.232,5.0141,398.0,18.7,12.34,middle-aged,medium
0.08387,0.0,12.83,0.0,0.437,,4.5026,398.0,18.7,9.1,middle-aged,
0.04113,25.0,,0.0,0.426,6.727,5.4007,281.0,19.0,5.29,middle-aged,low
0.04462,25.0,4.86,0.0,0.426,6.619,5.4007,281.0,19.0,7.22,old,
0.03659,25.0,4.86,0.0,,6.302,5.4007,281.0,19.0,6.72,middle-aged,low
0.03551,25.0,4.86,0.0,0.426,6.167,5.4007,281.0,19.0,7.51,middle-aged,low
,0.0,4.49,0.0,0.449,6.389,4.7794,247.0,18.5,9.62,middle-aged,low
0.05735,0.0,4.49,0.0,0.449,6.63,,247.0,18.5,6.53,,low
0.05188,0.0,4.49,0.0,0.449,6.015,4.4272,247.0,18.5,12.86,middle-aged,
0.07151,0.0,4.49,0.0,0.449,6.121,3.7476,247.0,18.5,8.44,middle-aged,low
0.0566,0.0,3.41,0.0,0.489,7.007,3.4217,270.0,17.8,5.5,old,low
0.05302,0.0,3.41,0.0,0.489,7.079,3.4145,270.0,17.8,5.7,old,low
0.04684,,3.41,0.0,0.489,6.417,,270.0,17.8,8.81,old,low
0.03932,0.0,3.41,0.0,0.489,6.405,3.0921,270.0,17.8,8.2,old,low
0.04203,28.0,15.04,0.0,0.464,,,270.0,18.2,8.16,middle-aged,low
0.02875,,15.04,0.0,0.464,6.211,3.6659,270.0,18.2,,young,low
0.04294,,,0.0,0.464,6.249,3.615,270.0,18.2,10.59,old,low
0.12204,0.0,2.89,0.0,0.445,6.625,3.4952,276.0,18.0,6.65,,low
0.11504,0.0,2.89,0.0,0.445,6.163,3.4952,276.0,18.0,11.34,old,low
0.12083,0.0,2.89,0.0,,8.069,3.4952,,18.0,4.21,old,low
,0.0,2.89,0.0,0.445,,3.4952,,18.0,3.57,middle-aged,low
0.0686,0.0,,0.0,0.445,7.416,3.4952,276.0,,6.19,old,low
0.14866,0.0,8.56,0.0,,6.727,2.7778,384.0,,9.42,,
0.11432,0.0,8.56,0.0,,6.781,2.8561,384.0,20.9,7.67,old,medium
0.22876,0.0,8.56,0.0,,,,384.0,20.9,10.63,old,medium
0.21161,0.0,8.56,,0.52,6.137,,384.0,20.9,13.44,old,
0.1396,0.0,8.56,0.0,0.52,6.167,2.421,384.0,20.9,12.33,old,medium
0.13262,0.0,8.56,0.0,0.52,5.851,2.1069,384.0,20.9,,old,medium
,0.0,,0.0,0.52,5.836,2.211,,20.9,18.66,old,medium
0.13117,0.0,8.56,,0.52,,2.1224,384.0,20.9,14.09,,medium
0.12802,0.0,8.56,,0.52,6.474,2.4329,384.0,,12.27,old,medium
,,8.56,0.0,0.52,6.229,2.5451,384.0,20.9,15.55,old,medium
0.10793,0.0,8.56,0.0,0.52,,2.7778,384.0,20.9,13.0,middle-aged,medium
0.10084,0.0,10.01,,0.547,6.715,2.6775,432.0,,10.16,old,medium
0.12329,0.0,10.01,0.0,0.547,5.913,2.3534,432.0,17.8,16.21,old,medium
0.22212,0.0,10.01,0.0,0.547,6.092,2.548,432.0,17.8,17.09,old,medium
,0.0,10.01,0.0,0.547,6.254,2.2565,432.0,17.8,10.45,old,medium
0.17134,0.0,10.01,0.0,0.547,5.928,2.4631,432.0,,15.76,old,medium
0.13158,0.0,10.01,0.0,0.547,6.176,2.7301,432.0,17.8,12.04,old,
0.15098,0.0,10.01,0.0,0.547,6.021,2.7474,432.0,17.8,10.3,old,medium
0.13058,0.0,,0.0,0.547,5.872,2.4775,,,15.37,old,medium
0.14476,,10.01,0.0,0.547,5.731,2.7592,432.0,,,old,medium
0.06899,0.0,25.65,0.0,0.581,5.87,2.2577,188.0,19.1,14.37,old,low
0.07165,0.0,,0.0,,6.004,2.1974,,19.1,14.27,old,
0.09299,0.0,25.65,0.0,0.581,5.961,2.0869,188.0,19.1,17.93,old,low
0.15038,0.0,25.65,0.0,0.581,5.856,1.9444,188.0,19.1,,old,low
0.09849,0.0,25.65,0.0,0.581,,2.0063,188.0,19.1,17.58,old,
0.16902,0.0,25.65,0.0,0.581,5.986,1.9929,188.0,19.1,,old,
0.38735,0.0,25.65,0.0,0.581,5.613,1.7572,188.0,19.1,27.26,old,low
0.25915,0.0,21.89,,0.624,5.693,1.7883,437.0,21.2,17.19,old,low
0.32543,,21.89,0.0,0.624,6.431,1.8125,437.0,,15.39,old,low
0.88125,0.0,,0.0,0.624,5.637,,437.0,21.2,18.34,old,low
,0.0,21.89,0.0,0.624,6.458,2.1185,437.0,21.2,12.6,old,low
1.19294,0.0,,0.0,0.624,6.326,2.271,437.0,21.2,12.26,old,low
0.59005,,,0.0,0.624,6.372,2.3274,,21.2,11.12,old,low
0.32982,0.0,21.89,0.0,0.624,5.822,2.4699,437.0,21.2,15.03,old,low
0.97617,,,0.0,0.624,5.757,2.346,437.0,21.2,17.31,old,low
0.55778,0.0,21.89,0.0,0.624,6.335,2.1107,437.0,,16.96,old,low
,,21.89,0.0,0.624,5.942,1.9669,437.0,21.2,16.9,old,low
0.35233,0.0,21.89,0.0,0.624,6.454,1.8498,437.0,21.2,14.59,old,
0.2498,0.0,21.89,0.0,0.624,5.857,1.6686,437.0,21.2,21.32,old,low
0.54452,0.0,21.89,,,6.151,1.6687,437.0,21.2,18.46,old,
0.2909,0.0,21.89,0.0,0.624,6.174,1.6119,437.0,21.2,24.16,old,low
1.62864,0.0,21.89,0.0,0.624,5.019,1.4394,437.0,21.2,34.41,old,low
3.32105,0.0,19.58,1.0,0.871,5.403,1.3216,403.0,14.7,26.82,old,medium
,0.0,19.58,,0.871,5.468,1.4118,403.0,14.7,26.42,old,
2.77974,0.0,19.58,0.0,0.871,4.903,1.3459,403.0,14.7,29.29,old,medium
2.37934,0.0,19.58,0.0,0.871,6.13,1.4191,403.0,14.7,27.8,old,medium
2.15505,0.0,19.58,0.0,0.871,5.628,,403.0,14.7,16.65,old,medium
2.36862,0.0,19.58,0.0,0.871,4.926,1.4608,403.0,14.7,29.53,old,medium
2.33099,0.0,19.58,,0.871,5.186,1.5296,403.0,14.7,28.32,old,medium
,0.0,19.58,,0.871,5.597,1.5257,403.0,14.7,21.45,old,medium
1.6566,0.0,19.58,0.0,,6.122,1.618,403.0,14.7,,old,medium
1.49632,0.0,19.58,0.0,,5.404,1.5916,403.0,14.7,13.28,,medium
1.12658,0.0,19.58,1.0,0.871,5.012,1.6102,403.0,14.7,12.12,old,medium
2.14918,0.0,19.58,0.0,0.871,5.709,1.6232,403.0,14.7,15.79,old,medium
1.41385,0.0,19.58,1.0,0.871,6.129,1.7494,403.0,14.7,15.12,old,medium
,0.0,,1.0,0.871,6.152,1.7455,403.0,14.7,15.02,old,medium
,0.0,19.58,0.0,0.871,5.272,1.7364,403.0,14.7,16.14,,medium
,0.0,19.58,0.0,,6.943,,403.0,,4.59,old,medium
1.34284,0.0,19.58,0.0,0.605,6.066,1.7573,403.0,14.7,6.43,old,medium
1.42502,0.0,,0.0,0.871,6.51,1.7659,403.0,14.7,7.39,old,medium
1.27346,0.0,19.58,1.0,0.605,6.25,1.7984,403.0,14.7,,old,medium
1.46336,0.0,19.58,0.0,0.605,7.489,1.9709,403.0,14.7,1.73,old,medium
1.83377,0.0,19.58,1.0,0.605,7.802,,403.0,14.7,1.92,old,
1.51902,0.0,19.58,1.0,0.605,8.375,2.162,403.0,,3.32,old,medium
2.24236,0.0,19.58,0.0,,5.854,2.422,403.0,14.7,11.64,old,medium
2.924,0.0,19.58,0.0,0.605,6.101,2.2834,403.0,14.7,,old,medium
2.01019,0.0,19.58,,,7.929,2.0459,403.0,14.7,3.7,old,medium
1.80028,0.0,19.58,0.0,0.605,5.877,2.4259,403.0,14.7,12.14,old,medium
2.3004,0.0,19.58,0.0,0.605,6.319,2.1,403.0,14.7,11.1,old,medium
2.44953,0.0,19.58,0.0,0.605,6.402,2.2625,403.0,,11.32,old,medium
1.20742,0.0,,0.0,0.605,5.875,2.4259,,14.7,14.43,old,medium
2.3139,0.0,19.58,0.0,0.605,5.88,2.3887,403.0,14.7,12.03,old,medium
0.13914,0.0,4.05,0.0,0.51,5.572,2.5961,296.0,16.6,14.69,old,medium
0.09178,0.0,4.05,0.0,0.51,6.416,2.6463,296.0,16.6,9.04,old,medium
0.08447,0.0,4.05,0.0,0.51,5.859,2.7019,296.0,16.6,9.64,,medium
0.06664,0.0,4.05,0.0,,6.546,,296.0,16.6,5.33,middle-aged,medium
0.07022,,4.05,0.0,0.51,6.02,3.5549,296.0,16.6,10.11,,medium
,0.0,4.05,0.0,0.51,6.315,,296.0,16.6,6.29,old,
0.06642,0.0,4.05,0.0,0.51,6.86,2.9153,296.0,16.6,6.92,old,medium
0.0578,0.0,2.46,0.0,0.488,6.98,2.829,193.0,17.8,5.04,middle-aged,low
0.06588,0.0,2.46,0.0,,7.765,2.741,193.0,17.8,,old,low
0.06888,0.0,2.46,0.0,0.488,6.144,2.5979,193.0,17.8,9.45,old,low
0.09103,,2.46,0.0,0.488,7.155,,,17.8,4.82,old,low
0.10008,0.0,2.46,0.0,0.488,,2.847,193.0,17.8,5.68,old,low
0.08308,,2.46,0.0,0.488,5.604,,193.0,17.8,13.98,old,low
0.06047,0.0,2.46,0.0,0.488,6.153,3.2797,193.0,17.8,13.15,old,low
0.05602,0.0,2.46,0.0,0.488,7.831,3.1992,193.0,17.8,,,low
0.07875,45.0,3.44,0.0,0.437,6.782,3.7886,398.0,15.2,6.68,middle-aged,medium
0.12579,45.0,,0.0,0.437,6.556,,,15.2,4.56,young,medium
,,3.44,0.0,0.437,7.185,4.5667,398.0,15.2,5.39,middle-aged,medium
0.09068,45.0,3.44,0.0,0.437,6.951,6.4798,398.0,15.2,5.1,young,medium
0.06911,45.0,3.44,0.0,,,6.4798,398.0,15.2,4.69,middle-aged,
0.08664,45.0,3.44,0.0,,,6.4798,398.0,15.2,2.87,young,medium
0.02187,60.0,,0.0,0.401,6.8,6.2196,265.0,15.6,,young,low
0.01439,60.0,,0.0,0.401,6.604,6.2196,265.0,15.6,4.38,young,low
0.01381,80.0,0.46,0.0,0.422,7.875,,255.0,14.4,2.97,middle-aged,low
0.04011,80.0,,0.0,0.404,7.287,7.309,329.0,12.6,4.08,middle-aged,low
0.04666,80.0,1.52,0.0,0.404,7.107,7.309,329.0,12.6,8.61,middle-aged,low
0.03768,80.0,1.52,0.0,0.404,7.274,7.309,329.0,12.6,6.62,middle-aged,low
0.0315,95.0,,0.0,0.403,6.975,7.6534,402.0,17.0,4.56,young,low
0.01778,95.0,,0.0,0.403,7.135,7.6534,402.0,17.0,4.45,young,low
0.03445,82.5,2.03,0.0,0.415,6.162,6.27,,14.7,7.43,middle-aged,low
0.02177,82.5,2.03,0.0,0.415,7.61,6.27,348.0,14.7,3.11,,low
0.0351,95.0,2.68,0.0,0.4161,7.853,5.118,224.0,14.7,3.81,middle-aged,low
0.02009,95.0,2.68,0.0,0.4161,8.034,5.118,224.0,14.7,2.88,middle-aged,low
0.13642,0.0,,0.0,0.489,5.891,3.9454,277.0,18.6,10.87,,low
0.22969,0.0,10.59,0.0,0.489,6.326,4.3549,277.0,18.6,10.97,middle-aged,low
0.25199,0.0,10.59,0.0,0.489,5.783,4.3549,277.0,18.6,,old,low
0.13587,0.0,10.59,,0.489,6.064,,277.0,18.6,,middle-aged,low
,0.0,10.59,,0.489,5.344,3.875,277.0,18.6,,old,low
0.17446,,10.59,1.0,0.489,5.96,3.8771,277.0,18.6,17.27,old,low
0.37578,0.0,10.59,1.0,0.489,5.404,3.665,277.0,18.6,23.98,old,low
0.21719,0.0,10.59,1.0,0.489,5.807,3.6526,277.0,18.6,16.03,middle-aged,
0.14052,,10.59,0.0,0.489,,3.9454,277.0,18.6,9.38,middle-aged,low
0.28955,0.0,10.59,0.0,0.489,,3.5875,277.0,18.6,29.55,young,low
0.19802,0.0,10.59,0.0,,6.182,3.9454,277.0,18.6,9.47,,low
0.0456,0.0,13.89,1.0,0.55,5.888,3.1121,276.0,16.4,13.51,middle-aged,medium
0.07013,0.0,13.89,0.0,0.55,6.642,3.4211,276.0,,9.69,old,medium
0.11069,0.0,13.89,1.0,0.55,5.951,2.8893,276.0,16.4,17.92,old,medium
0.11425,0.0,13.89,1.0,0.55,6.373,3.3633,276.0,16.4,10.5,old,medium
0.35809,0.0,6.2,1.0,0.507,6.951,2.8617,307.0,,9.71,old,medium
0.40771,0.0,6.2,1.0,,6.164,3.048,307.0,17.4,21.46,old,medium
0.62356,0.0,6.2,,0.507,,3.2721,307.0,17.4,,old,medium
0.6147,0.0,6.2,0.0,0.507,6.618,3.2721,307.0,17.4,7.6,old,
0.31533,0.0,6.2,0.0,0.504,8.266,2.8944,,17.4,4.14,old,medium
0.52693,,,,0.504,8.725,2.8944,307.0,17.4,,old,medium
0.38214,0.0,6.2,0.0,0.504,8.04,3.2157,307.0,17.4,3.13,old,medium
0.41238,0.0,6.2,0.0,0.504,7.163,3.2157,307.0,17.4,6.36,old,medium
0.29819,0.0,6.2,0.0,0.504,,3.3751,307.0,17.4,3.92,young,
0.44178,,6.2,0.0,0.504,,3.3751,307.0,17.4,3.76,,medium
0.537,0.0,6.2,0.0,0.504,5.981,3.6715,,17.4,11.65,old,medium
0.46296,0.0,6.2,0.0,0.504,7.412,3.6715,307.0,17.4,5.25,old,medium
,0.0,6.2,,0.507,8.337,3.8384,307.0,,2.47,old,medium
0.33147,0.0,6.2,0.0,0.507,8.247,3.6519,307.0,17.4,,old,medium
0.44791,0.0,6.2,,0.507,6.726,3.6519,307.0,17.4,8.05,old,medium
,0.0,6.2,0.0,0.507,6.086,3.6519,307.0,17.4,10.88,old,medium
0.52058,0.0,6.2,1.0,0.507,6.631,4.148,307.0,17.4,9.54,old,medium
0.51183,0.0,6.2,0.0,,7.358,4.148,307.0,17.4,4.73,old,medium
0.08244,30.0,4.93,0.0,0.428,6.481,,300.0,16.6,6.36,young,medium
0.09252,30.0,4.93,0.0,0.428,6.606,6.1899,300.0,16.6,7.37,middle-aged,medium
0.11329,30.0,,0.0,,6.897,6.3361,300.0,16.6,11.38,,medium
0.10612,30.0,4.93,0.0,0.428,6.095,6.3361,300.0,16.6,12.4,old,medium
0.1029,30.0,4.93,0.0,0.428,6.358,7.0355,,16.6,11.22,middle-aged,medium
,30.0,4.93,0.0,0.428,6.393,7.0355,300.0,16.6,5.19,young,medium
0.20608,22.0,5.86,0.0,0.431,5.593,7.9549,330.0,19.1,12.5,old,medium
0.19133,22.0,5.86,0.0,0.431,5.605,7.9549,330.0,19.1,18.46,old,medium
0.33983,22.0,5.86,,0.431,6.108,,330.0,19.1,9.16,middle-aged,medium
0.19657,,5.86,0.0,0.431,,,330.0,19.1,10.15,old,medium
0.16439,22.0,5.86,0.0,0.431,6.433,7.8265,330.0,19.1,9.52,middle-aged,medium
0.19073,22.0,5.86,0.0,0.431,6.718,7.8265,330.0,19.1,6.56,young,medium
,22.0,5.86,0.0,0.431,6.487,7.3967,330.0,19.1,5.9,,medium
