̴r,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec
2007,0.4,-2.8,4.7,8.2,11.4,16.6,17.0,17.8,12.2,7.7,2.4,1.8
2008,2.2,2.9,1.7,7.4,12.0,16.5,18.8,9.8,11.4,8.4,3.3,1.5
2009,-1.2,-1.8,1.0,8.5,12.0,14.0,17.8,17.5,14.2,5.7,5.6,-1.4
2010,-7.0,-5.3,-0.2,6.4,11.3,15.7,21.2,17.2,12.0,6.4,0.3,-6.6
2011,-1.9,-4.3,-1.2,9.1,11.8,17.3,19.4,17.3,14.1,8.5,6.1,2.5
2012,-0.9,-2.8,4.4,4.9,12.2,13.7,17.7,16.8,12.3,6.8,4.6,-3.0
2013,-3.3,-1.3,-2.3,-4.9,13.1,16.5,18.4,17.8,13.0,8.8,4.4,3.4
2014,-1.5,2.3,4.5,7.5,11.1,14.3,20.7,17.4,13.6,9.5,5.5,0.5
2015,0.9,1.3,3.9,7.4,10.2,14.5,17.0,18.2,13.5,8.1,5.0,4.1
2016,-4.2,0.5,3.2,6.2,13.1,16.5,19.0,16.9,15.3,7.2,2.0,2.2
2017,-0.3,0.2,3.3,4.9,11.3,15.2,17.4,17.0,13.1,8.0,3.8,1.5
2018,0.2,-3.2,-1.6,7.1,16.1,17.3,22.5,19.3,14.3,8.7,4.5,0.8
2019,-1.7,1.9,2.7,7.4,10.9,18.4,17.7,18.0,13.1,7.2,4.0,3.0
2020,4.1,2.9,3.6,7.1,10.1,18.6,17.0,19.3,14.2,9.3,6.9,4.0
2021,-1.2,-2.0,3.5,5.3,10.6,19.3,21.2,16.0,12.7,9.3,3.7,-1.6
2022,0.5,0.9,4.1,5.6,11.5,18.1,18.4,19.8,12.2,10.1,5.5,-1.4
